Nombre visible Agente,AGENTE (OFEI),"CENTRAL (dDEC, dSEGDES, dPRU…)","Tipo de central (Hidro, Termo, Filo, Menor)",Central,Hora_1,Hora_2,Hora_3,Hora_4,Hora_5,Hora_6,Hora_7,Hora_8,Hora_9,Hora_10,Hora_11,Hora_12,Hora_13,Hora_14,Hora_15,Hora_16,Hora_17,Hora_18,Hora_19,Hora_20,Hora_21,Hora_22,Hora_23,Hora_24,Total_hours
RIO PIEDRAS,ENERGIA RIO PIEDRAS,MAGUAFRE,M,MAGUAFRE,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,168
ALEJANDRÍA,PCH ALEJANDRÍA,M_ALEJANDRIA,M,M_ALEJANDRIA,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,192
EPSA,EPSA(PACIFICO),ALBAN,H,ALBAN,223,223,223,223,223,223,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,223,7596
EPSA,EPSA(PACIFICO),ALBAN,H,ALBAN,223,223,223,223,223,223,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,223,7596
EPSA,EPSA(PACIFICO),ALBAN,H,ALBAN,223,223,223,223,223,223,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,223,7596
EPSA,EPSA(PACIFICO),ALTOTULUA,M,ALTOTULUA,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,6,0,0,0,0,0,0,144
EPSA,EPSA(PACIFICO),ALTOTULUA,M,ALTOTULUA,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,6,0,0,0,0,0,0,144
EPSA,EPSA(PACIFICO),M_AMAIME,M,M_AMAIME,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,216
EPM,EEPPM,M_AMALFI,M,M_AMALFI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
ISAGEN,ISAGEN,AMOYA,F,AMOYA,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,1680
ISAGEN,ISAGEN,AMOYA,F,AMOYA,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,1680
CELSIA,CELSIA,AG_ARGOSCTG,M,AG_ARGOSCTG,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CELSIA,CELSIA,AG_ELCAIRO,M,AG_ELCAIRO,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,1,3,3,3,3,47
EMGESA,EMGESA S.A.,AG_REFICAR,M,AG_REFICAR,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,216
ESPROD,ESPROD SAS ESP,AG_UNIBOL,M,AG_UNIBOL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
EMSA,EMSA(META),AG_YAGUARI,M,AG_YAGUARI,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,18
EPM,EEPPM,M_AYURA,M,M_AYURA,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,288
EPSA,EPSA(PACIFICO),ALBAN,H,ALBAN,223,223,223,223,223,223,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,223,7596
EPSA,EPSA(PACIFICO),ALBAN,H,ALBAN,223,223,223,223,223,223,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,223,7596
EPSA,EPSA(PACIFICO),ALBAN,H,ALBAN,223,223,223,223,223,223,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,223,7596
EPSA,EPSA(PACIFICO),ALBAN,H,ALBAN,223,223,223,223,223,223,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,223,7596
EPSA,EPSA(PACIFICO),BAJOTULUA,M,BAJOTULUA,14,16,16,16,16,14,14,14,14,14,14,14,14,12,12,14,14,18,14,0,0,0,0,0,274
EPSA,EPSA(PACIFICO),BAJOTULUA,M,BAJOTULUA,14,16,16,16,16,14,14,14,14,14,14,14,14,12,12,14,14,18,14,0,0,0,0,0,274
LA CASCADA,CASCADA,MBARROSO1,M,MBARROSO1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,456
EEP,EEP(PEREIRA),MBELMONTE,M,MBELMONTE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,72
EMGESA,EMGESA S.A.,BETANIA,H,BETANIA,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,8736
EMGESA,EMGESA S.A.,BETANIA,H,BETANIA,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,8736
EMGESA,EMGESA S.A.,BETANIA,H,BETANIA,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,8736
ISAGEN,ISAGEN,MCALDERAS,M,MCALDERAS,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,92
ISAGEN,ISAGEN,MCALDERAS,M,MCALDERAS,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,92
EPSA,EPSA(PACIFICO),CALIMA1,H,CALIMA1,106,106,106,106,106,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,2392
EPSA,EPSA(PACIFICO),CALIMA1,H,CALIMA1,106,106,106,106,106,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,2392
EPSA,EPSA(PACIFICO),CALIMA1,H,CALIMA1,106,106,106,106,106,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,2392
EPSA,EPSA(PACIFICO),CALIMA1,H,CALIMA1,106,106,106,106,106,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,2392
MULCALARCA,MULCALARCA,MCAMP_CALARC,M,MCAMP_CALARC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
EPM,EEPPM,MCAMPEST_EPM,M,MCAMPEST_EPM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
EMGESA,EMGESA S.A.,MCANTAYUS,M,MCANTAYUS,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96
EMGESA,EMGESA S.A.,MCANTAYUS,M,MCANTAYUS,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96
EPM,EEPPM,MCARACOLI,M,MCARACOLI,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,72
HIDRALPOR,HIDRALPOR SAS ESP,C_LLERAS,F,C_LLERAS,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,816
HIDRALPOR,HIDRALPOR SAS ESP,C_LLERAS,F,C_LLERAS,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,816
LA CASCADA,CASCADA,MCARUQUIA,M,MCARUQUIA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96
LA CASCADA,CASCADA,MCASCADA1,M,MCASCADA1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48
EPSA,EPSA(PACIFICO),RN_SYUMBO,M,RN_SYUMBO,0,0,0,0,0,0,0,1,2,3,2,6,2,4,3,2,0,0,0,0,0,0,0,0,25
EPM,EEPPM,MCEMENTNARE,M,MCEMENTNARE,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
EMGESA,EMGESA S.A.,MCHARQUITO,M,MCHARQUITO,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,456
CHIVOR,AES CHIVOR,CHIVOR,H,CHIVOR,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
CHIVOR,AES CHIVOR,CHIVOR,H,CHIVOR,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
CHIVOR,AES CHIVOR,CHIVOR,H,CHIVOR,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
CHIVOR,AES CHIVOR,CHIVOR,H,CHIVOR,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
CHIVOR,AES CHIVOR,CHIVOR,H,CHIVOR,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
CHIVOR,AES CHIVOR,CHIVOR,H,CHIVOR,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
CHIVOR,AES CHIVOR,CHIVOR,H,CHIVOR,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
CHIVOR,AES CHIVOR,CHIVOR,H,CHIVOR,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
EL MORRO,C.T. EL MORRO 2,MCIMARR1,M,MCIMARR1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,480
EMEE,EMEE(POPAYAN),MCOCONUCO,M,MCOCONUCO,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48
ENERGETICA,ENERGETICA,MCOELLO,M,MCOELLO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
PROENCA,PROENCA ,CPROENCA2,M,CPROENCA2,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,408
EPSA,EPSA(PACIFICO),CUCUANA,F,CUCUANA,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,720
EPSA,EPSA(PACIFICO),CUCUANA,F,CUCUANA,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,720
EMGESA,EMGESA S.A.,DARIOVS,F,DARIOVS,150,0,0,0,0,0,0,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,2700
EMGESA,EMGESA S.A.,DARIOVS,F,DARIOVS,150,0,0,0,0,0,0,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,2700
EMGESA,EMGESA S.A.,DARIOVS,F,DARIOVS,150,0,0,0,0,0,0,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,2700
DOÑA JUANA,BIOGAS DOÑA JUANA,MDONAJUANA,M,MDONAJUANA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
ENREVSA,ENREVSA E.S.P.,MELBOSQUE,M,MELBOSQUE,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48
EL EDEN,CH EL EDEN,MCOCUYO,M,MCOCUYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
EL EDEN,CH EL EDEN,M_ELEDEN,M,M_ELEDEN,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,119
EMGESA,EMGESA S.A.,MLIMONAR,M,MLIMONAR,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,432
LA CASCADA,CASCADA,M_ELMOLINO,M,M_ELMOLINO,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,288
LA CASCADA,CASCADA,M_ELMOLINO,M,M_ELMOLINO,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,288
EL MORRO,C.T. EL MORRO 2,MMORRO1,M,MMORRO1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,480
EL MORRO,C.T. EL MORRO 2,MMORRO2,M,MMORRO2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,480
LA CASCADA,CASCADA,MELPOPAL,M,MELPOPAL,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,384
LA CASCADA,CASCADA,MELPOPAL,M,MELPOPAL,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,384
EMGESA,EMGESA S.A.,ELQUIMBO,H,ELQUIMBO,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,2040
EMGESA,EMGESA S.A.,ELQUIMBO,H,ELQUIMBO,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,2040
EPM,EEPPM,ESMERALDA,F,ESMERALDA,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,672
EPM,EEPPM,ESMERALDA,F,ESMERALDA,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,672
CELSIA,ZF CELSIA,FLORES IV,T,FLORES IV,0,0,0,0,40,40,40,100,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,3740
VATIA,VATIA S.A.,FLORIDA2,M,FLORIDA2,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,19,19,19,19,19,19,6,6,258
VATIA,VATIA S.A.,FLORIDA2,M,FLORIDA2,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,19,19,19,19,19,19,6,6,258
EPM,EEPPM,GUATRON,H,GUATRON,0,0,0,0,0,0,0,0,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,0,2955
EPM,EEPPM,GUATRON,H,GUATRON,0,0,0,0,0,0,0,0,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,0,2955
EPM,EEPPM,GUATRON,H,GUATRON,0,0,0,0,0,0,0,0,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,0,2955
EPM,EEPPM,GUATRON,H,GUATRON,0,0,0,0,0,0,0,0,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,0,2955
EPM,EEPPM,GUATRON,H,GUATRON,0,0,0,0,0,0,0,0,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,0,2955
EPM,EEPPM,GUATRON,H,GUATRON,0,0,0,0,0,0,0,0,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,0,2955
EPM,EEPPM,GUATRON,H,GUATRON,0,0,0,0,0,0,0,0,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,0,2955
EPM,EEPPM,GUATRON,H,GUATRON,0,0,0,0,0,0,0,0,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,0,2955
EPM,EEPPM,GUATRON,H,GUATRON,0,0,0,0,0,0,0,0,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,0,2955
GECELCA,GECELCA S.A. E.S.P,GUAJIR11,T,GUAJIR11,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,129,145,143,113,145,90,2061
GECELCA,GECELCA S.A. E.S.P,GUAJIR21,T,GUAJIR21,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,86,80,72,72,17,0,1623
LA CASCADA,CASCADA,MGUANAQUITA,M,MGUANAQUITA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,144
EPM,EEPPM,GUATAPE,H,GUATAPE,0,0,0,0,0,218,455,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,292,9925
EPM,EEPPM,GUATAPE,H,GUATAPE,0,0,0,0,0,218,455,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,292,9925
EPM,EEPPM,GUATAPE,H,GUATAPE,0,0,0,0,0,218,455,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,292,9925
EPM,EEPPM,GUATAPE,H,GUATAPE,0,0,0,0,0,218,455,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,292,9925
EPM,EEPPM,GUATAPE,H,GUATAPE,0,0,0,0,0,218,455,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,292,9925
EPM,EEPPM,GUATAPE,H,GUATAPE,0,0,0,0,0,218,455,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,292,9925
EPM,EEPPM,GUATAPE,H,GUATAPE,0,0,0,0,0,218,455,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,292,9925
EPM,EEPPM,GUATAPE,H,GUATAPE,0,0,0,0,0,218,455,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,292,9925
EMGESA,EMGESA S.A.,GUAVIO,H,GUAVIO,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0,4325
EMGESA,EMGESA S.A.,GUAVIO,H,GUAVIO,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0,4325
EMGESA,EMGESA S.A.,GUAVIO,H,GUAVIO,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0,4325
EMGESA,EMGESA S.A.,GUAVIO,H,GUAVIO,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0,4325
EMGESA,EMGESA S.A.,GUAVIO,H,GUAVIO,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0,4325
EMGESA,EMGESA S.A.,MGUAVIO,M,MGUAVIO,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
CELSIA,CELSIA,MMONTAÑITAS,M,MMONTAÑITAS,14,14,14,14,14,14,12,12,12,12,12,12,12,16,18,18,18,18,18,18,18,18,18,18,364
CELSIA,CELSIA,MMONTAÑITAS,M,MMONTAÑITAS,14,14,14,14,14,14,12,12,12,12,12,12,12,16,18,18,18,18,18,18,18,18,18,18,364
VATIA,VATIA S.A.,COINCAUCA,M,COINCAUCA,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,216
VATIA,VATIA S.A.,CPROVIDEN,M,CPROVIDEN,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,336
EEP,EEP(PEREIRA),CORISARAL,M,CORISARAL,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,360
EPM,EEPPM,INSULA,M,INSULA,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,312
EPM,EEPPM,INSULA,M,INSULA,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,312
EPM,EEPPM,INSULA,M,INSULA,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,312
ELECTROHUILA,ELECTROHUILA,M_IQUIRA1,M,M_IQUIRA1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
EPM,EEPPM,MJEPIRAC,M,MJEPIRAC,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,2,2,2,1,1,1,1,1,1,19
