Nombre visible Agente,AGENTE (OFEI),"CENTRAL (dDEC, dSEGDES, dPRU…)","Tipo de central (Hidro, Termo, Filo, Menor)",Central,Hora_1,Hora_2,Hora_3,Hora_4,Hora_5,Hora_6,Hora_7,Hora_8,Hora_9,Hora_10,Hora_11,Hora_12,Hora_13,Hora_14,Hora_15,Hora_16,Hora_17,Hora_18,Hora_19,Hora_20,Hora_21,Hora_22,Hora_23,Hora_24,Total_hours
CEDENAR,CEDENAR,MJULIOBRAVO,M,MJULIOBRAVO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
EMGESA,EMGESA S.A.,PAGUA,H,PAGUA,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,14400
EMGESA,EMGESA S.A.,PAGUA,H,PAGUA,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,14400
EMGESA,EMGESA S.A.,PAGUA,H,PAGUA,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,14400
EMGESA,EMGESA S.A.,MLAGUNETA,M,MLAGUNETA,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,432
EPM,EEPPM,LAHERRADURA,M,LAHERRADURA,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,456
EPM,EEPPM,LAHERRADURA,M,LAHERRADURA,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,456
IAC ENERGY,IAC ENERGY,MLANAVETA,M,MLANAVETA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96
HZ ENERGY,HZ ENERGY,MLAREBUSCA,M,MLAREBUSCA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
GEDEN,GEDEN SAS,MLASPALMAS,M,MLASPALMAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
GEDEN,GEDEN SAS,MLASPALMAS,M,MLASPALMAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
EPM,EEPPM,LATASAJERA,H,LATASAJERA,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,7344
EPM,EEPPM,LATASAJERA,H,LATASAJERA,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,7344
EPM,EEPPM,LATASAJERA,H,LATASAJERA,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,7344
EPM,EEPPM,MLAVUELTA,M,MLAVUELTA,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,264
LUZMA,GENERADORA LUZMA,MLUZMA1,M,MLUZMA1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,456
LUZMA,GENERADORA LUZMA,MLUZMA1,M,MLUZMA1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,456
LUZMA,GENERADORA LUZMA,MLUZMA2,M,MLUZMA2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,240
LUZMA,GENERADORA LUZMA,MLUZMA2,M,MLUZMA2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,240
EPM,EEPPM,M_MANANTIAL,M,M_MANANTIAL,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,72
EPSA,EPSA(PACIFICO),CMAYAGUEZ,M,CMAYAGUEZ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,72
ISAGEN,ISAGEN,MIEL1,H,MIEL1,330,264,198,132,258,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,8706
ISAGEN,ISAGEN,MIEL1,H,MIEL1,330,264,198,132,258,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,8706
ISAGEN,ISAGEN,MIEL1,H,MIEL1,330,264,198,132,258,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,8706
VATIA,VATIA S.A.,M_MIROLINDO,M,M_MIROLINDO,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,72
RISARALDA,RISARALDA ENERGIA,M_MORROAZUL,M,M_MORROAZUL,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,408
EPM,EEPPM,M_MUNICIPAL,M,M_MUNICIPAL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
EPSA,EPSA(PACIFICO),MNIMA,M,MNIMA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,118
EPM,EEPPM,MNIQUIA,M,MNIQUIA,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,312
EEP,EEP(PEREIRA),MNLIBARE,M,MNLIBARE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96
EPM,EEPPM,MNUTIBARA,M,MNUTIBARA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
GENSA,GENSA,PAIPA4,T,PAIPA4,0,0,0,0,7,40,50,90,125,154,154,154,142,128,113,96,78,57,50,27,0,0,0,0,1465
EPM,EEPPM,MPAJARITO,M,MPAJARITO,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,72
EMGESA,EMGESA S.A.,PAGUA,H,PAGUA,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,14400
EMGESA,EMGESA S.A.,PAGUA,H,PAGUA,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,14400
EMGESA,EMGESA S.A.,PAGUA,H,PAGUA,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,14400
VATIA,VATIA S.A.,MPASTALES,M,MPASTALES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
GELEC,GELEC,MPATICOLACAB,M,MPATICOLACAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
EPM,EEPPM,PLAYAS,H,PLAYAS,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,1656
EPM,EEPPM,PLAYAS,H,PLAYAS,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,1656
EPM,EEPPM,PLAYAS,H,PLAYAS,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,1656
EPM,EEPPM,PORCE2,H,PORCE2,0,0,0,0,0,0,0,0,0,0,0,163,114,170,310,265,210,205,405,405,405,405,0,0,3057
EPM,EEPPM,PORCE2,H,PORCE2,0,0,0,0,0,0,0,0,0,0,0,163,114,170,310,265,210,205,405,405,405,405,0,0,3057
EPM,EEPPM,PORCE2,H,PORCE2,0,0,0,0,0,0,0,0,0,0,0,163,114,170,310,265,210,205,405,405,405,405,0,0,3057
EPM,EEPPM,PORCE3,H,PORCE3,677,677,677,677,677,658,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,642,15310
EPM,EEPPM,PORCE3,H,PORCE3,677,677,677,677,677,658,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,642,15310
EPM,EEPPM,PORCE3,H,PORCE3,677,677,677,677,677,658,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,642,15310
EPM,EEPPM,PORCE3,H,PORCE3,677,677,677,677,677,658,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,642,15310
EPM,EEPPM,MPORCEIII,M,MPORCEIII,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
EPSA,EPSA(PACIFICO),PRADO,H,PRADO,0,0,0,0,0,0,0,0,1,46,39,46,46,46,46,46,46,46,46,46,46,46,0,0,592
EPSA,EPSA(PACIFICO),PRADO,H,PRADO,0,0,0,0,0,0,0,0,1,46,39,46,46,46,46,46,46,46,46,46,46,46,0,0,592
EPSA,EPSA(PACIFICO),PRADO,H,PRADO,0,0,0,0,0,0,0,0,1,46,39,46,46,46,46,46,46,46,46,46,46,46,0,0,592
EPSA,EPSA(PACIFICO),MPRADO4,M,MPRADO4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
PROELECTRICA,PROELECTRICA RESTRUC,PROELECT,T,PROELECT,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,34,42,42,42,42,242
PROELECTRICA,PROELECTRICA RESTRUC,PROELECT,T,PROELECT,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,34,42,42,42,42,242
HZ ENERGY,HZ ENERGY,MPROVIDEN,M,MPROVIDEN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
ENERCO,ENERCO,MPTE_GUILL,M,MPTE_GUILL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
CEDENAR,CEDENAR,MRIOBOBO,M,MRIOBOBO,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96
EPM,EEPPM,MRFRIOTAMES,M,MRFRIOTAMES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
CETSA,CETSA(TULUA),MRIOFRIO1,M,MRIOFRIO1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
CETSA,CETSA(TULUA),RIOFRIO2,M,RIOFRIO2,10,10,10,8,8,10,8,8,8,8,8,8,8,6,6,8,10,10,8,8,10,10,8,10,206
CETSA,CETSA(TULUA),RIOFRIO2,M,RIOFRIO2,10,10,10,8,8,10,8,8,8,8,8,8,8,6,6,8,10,10,8,8,10,10,8,10,206
CEDENAR,CEDENAR,MRIOMAYO,M,MRIOMAYO,7,7,7,7,7,20,20,20,20,20,20,7,7,7,7,7,20,20,20,20,20,20,20,20,350
CEDENAR,CEDENAR,MRIOMAYO,M,MRIOMAYO,7,7,7,7,7,20,20,20,20,20,20,7,7,7,7,7,20,20,20,20,20,20,20,20,350
CEDENAR,CEDENAR,MRIOMAYO,M,MRIOMAYO,7,7,7,7,7,20,20,20,20,20,20,7,7,7,7,7,20,20,20,20,20,20,20,20,350
EMGESA,EMGESA S.A.,MRIONEGRO,M,MRIONEGRO,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48
VATIA,VATIA S.A.,MRIOPALO,M,MRIOPALO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
CELSIA,CELSIA,RPIEDRAS,M,RPIEDRAS,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,8,10,14,18,18,406
CELSIA,CELSIA,RPIEDRAS,M,RPIEDRAS,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,8,10,14,18,18,406
CEDENAR,CEDENAR,MRIOSAPUYES,M,MRIOSAPUYES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
CETSA,CETSA(TULUA),MRUMOR,M,MRUMOR,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48
VATIA,VATIA S.A.,MSAJANDI,M,MSAJANDI,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,72
EMGESA,EMGESA S.A.,SALTO II,F,SALTO II,35,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,630
EPSA,EPSA(PACIFICO),SALVAJINA,H,SALVAJINA,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,4560
EPSA,EPSA(PACIFICO),SALVAJINA,H,SALVAJINA,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,4560
EPSA,EPSA(PACIFICO),SALVAJINA,H,SALVAJINA,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,4560
EPM,EEPPM,MSANCANCIO,M,MSANCANCIO,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48
ISAGEN,ISAGEN,SANCARLOS,H,SANCARLOS,689,863,949,1154,1240,1240,1141,1141,1134,1156,1156,1156,1156,1168,1156,1160,1156,1132,1042,1125,1084,1122,1121,1240,26681
ISAGEN,ISAGEN,SANCARLOS,H,SANCARLOS,689,863,949,1154,1240,1240,1141,1141,1134,1156,1156,1156,1156,1168,1156,1160,1156,1132,1042,1125,1084,1122,1121,1240,26681
ISAGEN,ISAGEN,SANCARLOS,H,SANCARLOS,689,863,949,1154,1240,1240,1141,1141,1134,1156,1156,1156,1156,1168,1156,1160,1156,1132,1042,1125,1084,1122,1121,1240,26681
ISAGEN,ISAGEN,SANCARLOS,H,SANCARLOS,689,863,949,1154,1240,1240,1141,1141,1134,1156,1156,1156,1156,1168,1156,1160,1156,1132,1042,1125,1084,1122,1121,1240,26681
ISAGEN,ISAGEN,SANCARLOS,H,SANCARLOS,689,863,949,1154,1240,1240,1141,1141,1134,1156,1156,1156,1156,1168,1156,1160,1156,1132,1042,1125,1084,1122,1121,1240,26681
ISAGEN,ISAGEN,SANCARLOS,H,SANCARLOS,689,863,949,1154,1240,1240,1141,1141,1134,1156,1156,1156,1156,1168,1156,1160,1156,1132,1042,1125,1084,1122,1121,1240,26681
ISAGEN,ISAGEN,SANCARLOS,H,SANCARLOS,689,863,949,1154,1240,1240,1141,1141,1134,1156,1156,1156,1156,1168,1156,1160,1156,1132,1042,1125,1084,1122,1121,1240,26681
ISAGEN,ISAGEN,SANCARLOS,H,SANCARLOS,689,863,949,1154,1240,1240,1141,1141,1134,1156,1156,1156,1156,1168,1156,1160,1156,1132,1042,1125,1084,1122,1121,1240,26681
EPM,EEPPM,SANFRANCISCO,F,SANFRANCISCO,0,0,0,0,0,0,0,90,90,90,90,90,0,0,0,0,0,45,135,135,135,0,0,0,900
EPM,EEPPM,SANFRANCISCO,F,SANFRANCISCO,0,0,0,0,0,0,0,90,90,90,90,90,0,0,0,0,0,45,135,135,135,0,0,0,900
EPM,EEPPM,SANFRANCISCO,F,SANFRANCISCO,0,0,0,0,0,0,0,90,90,90,90,90,0,0,0,0,0,45,135,135,135,0,0,0,900
LA CASCADA,CASCADA,MSNMATIAS,M,MSNMATIAS,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,240
LA CASCADA,CASCADA,MSNMATIAS,M,MSNMATIAS,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,240
LA CASCADA,CASCADA,SANMIGUEL,F,SANMIGUEL,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1056
LA CASCADA,CASCADA,SANMIGUEL,F,SANMIGUEL,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1056
VATIA,VATIA S.A.,MSANTIAGO,M,MSANTIAGO,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48
ISAGEN,ISAGEN,SOGAMOSO,H,SOGAMOSO,644,469,294,120,120,120,120,144,289,434,819,819,819,819,819,819,819,819,819,819,819,659,484,309,13215
ISAGEN,ISAGEN,SOGAMOSO,H,SOGAMOSO,644,469,294,120,120,120,120,144,289,434,819,819,819,819,819,819,819,819,819,819,819,659,484,309,13215
ISAGEN,ISAGEN,SOGAMOSO,H,SOGAMOSO,644,469,294,120,120,120,120,144,289,434,819,819,819,819,819,819,819,819,819,819,819,659,484,309,13215
EPM,EEPPM,MSONSON,M,MSONSON,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,264
EMGESA,EMGESA S.A.,MSUBA1,M,MSUBA1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48
TASAJERO 2,TERMOTASAJERO DOS,TASAJERO2,T,TASAJERO2,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,3960
GECELCA,GECELCA S.A. E.S.P,TEBSA,T,TEBSA,392,392,392,392,392,392,392,392,392,392,392,416,392,400,440,440,408,392,392,392,392,392,392,392,9552
EMGESA,EMGESA S.A.,MTEQUENDAMA,M,MTEQUENDAMA,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,456
ENERCO,ENERCO,MB_TEQUENDA,M,MB_TEQUENDA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48
TERMOPIEDRAS,TERMOPIEDRAS S.A.,TPIEDRAS,M,TPIEDRAS,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96
TERMOYOPAL,TERMOYOPAL,MYOPAL1,M,MYOPAL1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,480
TERMOYOPAL,TERMOYOPAL,TYOPAL2,T,TYOPAL2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,720
EPM,EEPPM,GUATRON,H,GUATRON,0,0,0,0,0,0,0,0,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,0,2955
EPM,EEPPM,GUATRON,H,GUATRON,0,0,0,0,0,0,0,0,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,0,2955
CHIVOR,AES CHIVOR,MTUNJITA,M,MTUNJITA,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,480
MULCALARCA,MULCALARCA,M_UNION,M,M_UNION,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
URRA,URRA,URRA,H,URRA,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,5784
URRA,URRA,URRA,H,URRA,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,5784
URRA,URRA,URRA,H,URRA,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,5784
URRA,URRA,URRA,H,URRA,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,5784
GENERAMOS ENERGIA,GENERAMOS ENERGIA,M_URRAO,M,M_URRAO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
VATIA,VATIA S.A.,MVENTANA_A,M,MVENTANA_A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
VATIA,VATIA S.A.,MVENTANA_B,M,MVENTANA_B,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48
